Subject,Start Date,All Day Event
Weekly Test-Physics-1,04/27/2026,True
Weekly Test-Chemistry-1,05/04/2026,True
Weekly Test-Maths-1,05/11/2026,True
Main Test-1,05/24/2026,True
Weekly Test-Physics-2,06/01/2026,True
Weekly Test-Chemistry-2,06/08/2026,True
Main Test-2,06/21/2026,True
Weekly Test-Maths-2,06/29/2026,True
Weekly Test-Physics-3,07/06/2026,True
Main Test-3,07/19/2026,True
Advanced Test-1 (One paper),07/19/2026,True
Weekly Test-Chemistry-3,07/27/2026,True
1st Quarterly Exam-1 & CET-1,08/03/2026,True
Main Test-4,08/23/2026,True
Advanced Test-2 (One paper),08/23/2026,True
Weekly Test-Maths-3,08/31/2026,True
Weekly Test-Physics-4,09/07/2026,True
Main Test-5,09/19/2026,True
Advanced Test-3 (Two papers),09/20/2026,True
Midterm Exam & CET-2,09/25/2026,True
Weekly Test-Chemistry-4,11/02/2026,True
Main Test-6,11/21/2026,True
Advanced Test-4 (Two papers),11/22/2026,True
Weekly Test-Maths-4,11/30/2026,True
2nd Quarterly Exam & CET-3,12/10/2026,True
Weekly Test-Physics-5,12/21/2026,True
Main Test-7,01/02/2027,True
Advanced Test-5 (Two papers),01/03/2027,True
Weekly Test-Chemistry-5,01/11/2027,True
Weekly Test-Maths-5,01/18/2027,True
Main Test-8,01/27/2027,True
Advanced Test-6 (Two papers),01/28/2027,True
Holiday: Bakrid,05/28/2026,True
Holiday: Independence Day,08/15/2026,True
Holiday: Varamahalakshmi Vrata,08/21/2026,True
Holiday: Ganesha Chathurthi,09/14/2026,True
Holiday: Gandhi Jayanti,10/02/2026,True
Holiday: Mahalaya Amavasye,10/10/2026,True
Holiday: Dasara Holiday,10/19/2026,True
Holiday: Dasara Holiday,10/20/2026,True
Holiday: Dasara Holiday,10/21/2026,True
Holiday: Deepavali Holiday,11/09/2026,True
Holiday: Deepavali Holiday,11/10/2026,True
Holiday: Christmas,12/25/2026,True
